更新时间: 2026-04-30 09:29:42（北京时间）

更新时间,#genre#
2026-04-30 09:29:42,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

📺央视频道,#genre#
CCTV1,http://192.144.185.155:6000/rtp/225.1.8.1:8008$北京市电信
CCTV1,http://58.62.234.243:10000/rtp/239.77.0.86:5146$广东电信
CCTV1,http://183.220.107.138:4022/rtp/239.11.0.65:5140$四川移动
CCTV1,http://183.220.107.138:4022/rtp/239.11.0.130:5140$四川移动
CCTV1,http://223.10.214.111:6000/rtp/239.1.1.7:8007$山西电信
CCTV2,http://192.144.185.155:6000/rtp/225.1.8.2:8084$北京市电信
CCTV2,http://58.62.234.243:10000/rtp/239.77.0.137:5146$广东电信
CCTV2,http://183.220.107.138:4022/rtp/239.11.0.108:5140$四川移动
CCTV2,http://223.10.214.111:6000/rtp/239.1.1.8:8008$山西电信
CCTV3,http://192.144.185.155:6000/rtp/225.1.8.88:8000$北京市电信
CCTV3,http://58.62.234.243:10000/rtp/239.77.0.169:5146$广东电信
CCTV3,http://183.220.107.138:4022/rtp/239.11.0.101:5140$四川移动
CCTV3,http://223.10.214.111:6000/rtp/239.1.1.9:8009$山西电信
CCTV4,http://192.144.185.155:6000/rtp/225.1.8.4:8092$北京市电信
CCTV4,http://58.62.234.243:10000/rtp/239.77.0.78:5146$广东电信
CCTV4,http://183.220.107.138:4022/rtp/239.11.0.109:5140$四川移动
CCTV4,http://223.10.214.111:6000/rtp/239.1.1.10:8010$山西电信
CCTV4欧洲,http://58.62.234.243:10000/rtp/239.253.43.120:5146$广东电信
CCTV4美洲,http://58.62.234.243:10000/rtp/239.253.43.121:5146$广东电信
CCTV5,http://192.144.185.155:6000/rtp/225.1.8.89:8000$北京市电信
CCTV5,http://58.62.234.243:10000/rtp/239.77.0.170:5146$广东电信
CCTV5,http://183.220.107.138:4022/rtp/239.11.0.66:5140$四川移动
CCTV5,http://183.220.107.138:4022/rtp/239.10.0.200:5140$四川移动
CCTV5,http://183.220.107.138:4022/rtp/239.11.0.100:5140$四川移动
CCTV5,http://183.220.107.138:4022/rtp/239.11.0.236:5140$四川移动
CCTV5,http://223.10.214.111:6000/rtp/239.1.1.11:8011$山西电信
CCTV5+,http://192.144.185.155:6000/rtp/225.1.8.20:8004$北京市电信
CCTV5+,http://58.62.234.243:10000/rtp/239.77.0.87:5146$广东电信
