更新时间: 2025-12-15 07:43:09（北京时间）

更新时间,#genre#
2025-12-15 07:43:09,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

📺央视频道,#genre#
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.135:8880$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.97:8108$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.210:8888$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.113:8512$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.89:8024$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.130:8012$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.189:8148$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.100:8084$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.70:8008$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.82:8004$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.177:8656$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.208:8688$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.92:8028$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.88:8020$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.202:8760$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.212:8720$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.84:8016$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.146:8136$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.125:8654$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.95:8044$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.93:8088$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.119:8444$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.135:8076$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.86:8008$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.169:8402$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.14:8852$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.116:8412$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.209:8976$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.83:8000$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.204:8708$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.85:8032$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.123:8612$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.120:8401$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.136:8060$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.174:8640$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.45:8800$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.94:8100$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.196:8128$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.111:8116$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.167:8596$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.98:8052$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.211:8888$云南电信
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.117:8712$云南电信
